account_rewards,date
-0.016645973658561707,2014-09-10
-0.012306518860957587,2014-09-12
0.025045809189938546,2014-09-15
0.008071740815661447,2014-09-17
-0.015238266052867397,2014-09-18
-0.011543702641309444,2014-09-19
-0.010535970014019512,2014-09-22
0.01010504339468045,2014-09-23
-0.020791685843689664,2014-09-24
0.006620701781413338,2014-09-25
-0.0007314215571831049,2014-09-26
0.00010321192959270857,2014-09-29
-0.022313509440496843,2014-09-30
0.004405391574365022,2014-10-01
0.022352537101594405,2014-10-02
-0.0014450775461265295,2014-10-03
-0.014883164423376172,2014-10-06
0.023572066392518458,2014-10-07
-0.019944881635001986,2014-10-08
-0.046314076640484064,2014-10-09
0.002032940366222833,2014-10-13
0.008238754513675884,2014-10-14
0.011103910319087841,2014-10-15
0.019185020150244998,2014-10-16
0.007542071300520872,2014-10-17
0.03308376006757536,2014-10-20
-0.018122968465807715,2014-10-21
0.019614657502887815,2014-10-22
0.015608424882589017,2014-10-23
0.00207135001106591,2014-10-24
0.017066609355697725,2014-10-27
0.0017552930768356836,2014-10-28
0.007928717615074094,2014-10-30
-0.0042917373404170915,2014-10-31
-0.0021523163950684537,2014-11-03
-3.6833077899619445e-05,2014-11-04
0.010949606451417385,2014-11-05
0.0051516085253778595,2014-11-06
0.010760611262104116,2014-11-07
-0.002216544872193841,2014-11-10
-0.0008042090783978984,2014-11-11
-0.0011666516974748764,2014-11-12
-0.010362730479664349,2014-11-13
0.011090202579267433,2014-11-17
-0.005820583745620012,2014-11-18
0.004049260767779327,2014-11-19
0.01053586550107927,2014-11-20
0.0024789821406357155,2014-11-21
-0.005028895328518087,2014-11-24
0.008274467248098131,2014-11-25
0.0024391391334622,2014-11-26
-0.011680940680517362,2014-11-28
0.013878241765800993,2014-12-01
0.013856547211212905,2014-12-02
-0.005178780412689588,2014-12-03
0.005094309472242866,2014-12-04
-0.00820464386633974,2014-12-05
0.007039383198597168,2014-12-08
-0.018980997739971788,2014-12-09
-0.005708586576522357,2014-12-10
-0.012981826538852973,2014-12-11
-0.016200382181902433,2014-12-12
-0.016106799771616755,2014-12-15
0.020482630030916663,2014-12-16
0.02958277727555192,2014-12-17
0.017171401901503704,2014-12-18
-0.0017732975984619654,2014-12-19
-0.009409964995135724,2014-12-22
