,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PAYX,PCAR,PDD,PEP,PFE,PG,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL
10,0.0,0.0,0.0,0.0,0.0,0.0,107.0,176.0,93.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,134.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,27.0,183.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,16.0,0.0,229.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,129.0,0.0,97.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,0.0,13.0,16.0,36.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,23.0,147.0,93.0,0.0,9.0,0.0,30.0,42.0,0.0,0.0,134.0,0.0,0.0,2.0,0.0,90.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,29.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,97.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,52.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,92.0
12,0.0,0.0,0.0,0.0,0.0,0.0,23.0,65.0,93.0,0.0,9.0,0.0,30.0,130.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,29.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,45.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,82.0,0.0,6.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,92.0
13,0.0,96.0,0.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,9.0,0.0,0.0,130.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,279.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,45.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,92.0
14,0.0,96.0,0.0,0.0,0.0,0.0,3.0,65.0,81.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,279.0,0.0,0.0,0.0,5.0,0.0,76.0,0.0,45.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,132.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,19.0
15,0.0,96.0,0.0,0.0,0.0,0.0,3.0,65.0,81.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,279.0,0.0,0.0,0.0,5.0,0.0,76.0,0.0,45.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,215.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
16,0.0,96.0,0.0,0.0,0.0,0.0,3.0,65.0,82.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,279.0,0.0,0.0,0.0,63.0,0.0,72.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,215.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
17,0.0,96.0,0.0,0.0,0.0,0.0,3.0,0.0,180.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,279.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,215.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
18,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,279.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
19,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,95.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,279.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,1.0,229.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,246.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
20,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,95.0,0.0,0.0,161.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,279.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,1.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
21,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,95.0,0.0,0.0,141.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,68.0,208.0,372.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,95.0,0.0,0.0,141.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,208.0,372.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,95.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,337.0,0.0,0.0,0.0,18.0,0.0,60.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,84.0,0.0,0.0,116.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,337.0,0.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,0.0,42.0,129.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,97.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,42.0,0.0,0.0,65.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,337.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,42.0,129.0,0.0,0.0,94.0,0.0,289.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,97.0,7.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,42.0,0.0,0.0,65.0,0.0,90.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,337.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,94.0,0.0,289.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,226.0,0.0,0.0,40.0,7.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,42.0,0.0,0.0,65.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,337.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,94.0,0.0,289.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,7.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,432.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,94.0,0.0,289.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,104.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,432.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,94.0,0.0,289.0,0.0,45.0,88.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,105.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
30,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,432.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,94.0,0.0,264.0,0.0,45.0,88.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,197.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
31,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,432.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,94.0,0.0,264.0,9.0,45.0,88.0,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,178.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,432.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,37.0,0.0,264.0,9.0,11.0,186.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,1.0,178.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,433.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,15.0,0.0,264.0,5.0,11.0,186.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,271.0,0.0,0.0,0.0,154.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,12.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,433.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,32.0,0.0,264.0,5.0,0.0,186.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,245.0,0.0,0.0,0.0,154.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
35,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,433.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,32.0,61.0,264.0,5.0,0.0,186.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,215.0,245.0,0.0,0.0,0.0,154.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
36,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,368.0,0.0,0.0,0.0,102.0,60.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,32.0,61.0,264.0,5.0,0.0,186.0,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,215.0,245.0,0.0,0.0,0.0,134.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0
