,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PAYX,PCAR,PDD,PEP,PFE,PG,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,93.0,0.0,0.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,93.0,0.0,0.0,98.0,48.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,93.0,0.0,0.0,98.0,45.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,93.0,0.0,0.0,98.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,96.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,68.0,0.0,0.0,49.0
4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,55.0,0.0,0.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,2.0,60.0,0.0,0.0,0.0,97.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,143.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,75.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,55.0,0.0,0.0,33.0,45.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,97.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,134.0
6,0.0,0.0,96.0,0.0,0.0,0.0,98.0,0.0,0.0,70.0,79.0,0.0,46.0,75.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,138.0,0.0,0.0,39.0,45.0,90.0,0.0,0.0,93.0,73.0,37.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,69.0,191.0,95.0,0.0,65.0,94.0,0.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,77.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,134.0
7,0.0,0.0,87.0,0.0,0.0,0.0,17.0,0.0,0.0,70.0,6.0,0.0,125.0,75.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,216.0,0.0,0.0,39.0,45.0,90.0,80.0,0.0,12.0,0.0,116.0,0.0,3.0,66.0,0.0,0.0,0.0,93.0,0.0,177.0,95.0,0.0,65.0,84.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0,0.0,0.0,44.0,0.0,82.0,0.0,0.0,72.0,0.0,0.0,134.0
8,0.0,0.0,87.0,0.0,0.0,0.0,17.0,0.0,0.0,70.0,0.0,0.0,125.0,75.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,208.0,0.0,0.0,46.0,122.0,90.0,17.0,0.0,12.0,0.0,211.0,0.0,0.0,66.0,0.0,0.0,0.0,70.0,0.0,177.0,95.0,0.0,9.0,84.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,48.0,0.0,0.0,26.0,0.0,0.0,134.0
9,0.0,0.0,76.0,0.0,0.0,0.0,17.0,0.0,95.0,70.0,0.0,0.0,122.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,306.0,0.0,0.0,140.0,190.0,64.0,17.0,0.0,12.0,0.0,154.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,50.0,0.0,0.0,84.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,136.0,1.0,48.0,97.0,0.0,26.0,0.0,94.0,134.0
10,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,38.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,45.0,0.0,396.0,0.0,0.0,143.0,190.0,18.0,0.0,97.0,0.0,0.0,90.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,50.0,0.0,0.0,23.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,189.0,0.0,0.0,0.0,74.0,218.0
