,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PAYX,PCAR,PDD,PEP,PFE,PG,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,1.0,86.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,34.0,86.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,93.0,0.0,90.0,0.0,98.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,98.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
1,0.0,90.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,91.0,0.0,0.0,72.0,58.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,86.0,0.0,52.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.0,93.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,93.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0
2,0.0,9.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,42.0,0.0,79.0,51.0,25.0,0.0,0.0,149.0,0.0,77.0,91.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,64.0,0.0,119.0,0.0,58.0,0.0,77.0,0.0,0.0,0.0,58.0,2.0,0.0,36.0,0.0,0.0,77.0,0.0,0.0,93.0,93.0,81.0,63.0,0.0,44.0,0.0,0.0,95.0,0.0,0.0,21.0,0.0,0.0,83.0,0.0,93.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,58.0,0.0,0.0,73.0,179.0
3,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,42.0,83.0,79.0,51.0,0.0,0.0,0.0,149.0,83.0,73.0,26.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,119.0,33.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,168.0,0.0,0.0,93.0,70.0,37.0,58.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,176.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,45.0,0.0,0.0,54.0,179.0
4,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,141.0,83.0,15.0,51.0,0.0,0.0,0.0,149.0,49.0,73.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,33.0,0.0,0.0,33.0,0.0,0.0,98.0,0.0,98.0,23.0,0.0,89.0,0.0,168.0,0.0,0.0,79.0,22.0,0.0,58.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,135.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
5,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,93.0,126.0,136.0,106.0,147.0,0.0,0.0,0.0,149.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,33.0,0.0,0.0,33.0,0.0,0.0,50.0,0.0,98.0,0.0,0.0,180.0,0.0,168.0,0.0,0.0,79.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,45.0,99.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
6,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,86.0,126.0,83.0,89.0,136.0,0.0,0.0,0.0,149.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,1.0,0.0,91.0,0.0,0.0,0.0,0.0,215.0,7.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,98.0,0.0,0.0,160.0,0.0,127.0,0.0,0.0,79.0,22.0,0.0,0.0,95.0,0.0,0.0,90.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,99.0,0.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
7,0.0,0.0,0.0,0.0,0.0,0.0,472.0,0.0,86.0,102.0,33.0,50.0,120.0,28.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,307.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,163.0,0.0,70.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,64.0,93.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
8,0.0,0.0,0.0,0.0,0.0,0.0,473.0,0.0,86.0,102.0,0.0,0.0,120.0,28.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,307.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,97.0,0.0,0.0,161.0,0.0,70.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,143.0,0.0,93.0,0.0,0.0,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0
9,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,86.0,101.0,0.0,0.0,120.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,404.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,97.0,0.0,0.0,92.0,0.0,4.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,41.0,8.0,0.0,0.0,143.0,0.0,93.0,0.0,1.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0
