,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CDNS,CMCSA,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTSH,DLTR,DXCM,EA,EBAY,ENPH,EXC,FANG,FAST,FTNT,GILD,GOOG,GOOGL,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MSFT,MU,NFLX,NTES,NVDA,NXPI,OKTA,ORLY,PAYX,PCAR,PDD,PEP,PFE,PG,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TCOM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,53.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,91.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,96.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,0.0,185.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,92.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,91.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,96.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,6.0,0.0,0.0,96.0
2,0.0,0.0,95.0,0.0,61.0,0.0,0.0,84.0,0.0,81.0,0.0,0.0,34.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,159.0,91.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,76.0,156.0,20.0,61.0,0.0,0.0,0.0,73.0,84.0,0.0,0.0,73.0,0.0,0.0,77.0,0.0,151.0,0.0,0.0,82.0,0.0,17.0,0.0,89.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,61.0,77.0,0.0,0.0,87.0,1.0,92.0,0.0,0.0,66.0,0.0,80.0,26.0
3,0.0,0.0,95.0,0.0,0.0,0.0,85.0,49.0,0.0,81.0,0.0,0.0,34.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,159.0,27.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,76.0,90.0,0.0,21.0,0.0,0.0,2.0,73.0,84.0,0.0,0.0,73.0,0.0,0.0,77.0,0.0,152.0,82.0,0.0,1.0,0.0,0.0,0.0,89.0,1.0,110.0,88.0,84.0,44.0,0.0,0.0,23.0,0.0,61.0,77.0,0.0,0.0,52.0,0.0,92.0,0.0,0.0,66.0,0.0,0.0,123.0
4,0.0,0.0,74.0,0.0,0.0,0.0,85.0,49.0,94.0,19.0,0.0,0.0,122.0,0.0,0.0,0.0,179.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,159.0,0.0,91.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,76.0,11.0,30.0,21.0,0.0,0.0,0.0,35.0,84.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,152.0,82.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,30.0,185.0,84.0,34.0,0.0,0.0,0.0,0.0,29.0,77.0,0.0,0.0,52.0,0.0,92.0,92.0,0.0,28.0,0.0,0.0,123.0
5,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,67.0,14.0,0.0,0.0,32.0,0.0,0.0,0.0,179.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,162.0,89.0,0.0,91.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,142.0,76.0,0.0,0.0,21.0,0.0,0.0,0.0,35.0,84.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,152.0,82.0,0.0,86.0,0.0,0.0,0.0,7.0,0.0,0.0,185.0,85.0,34.0,0.0,0.0,0.0,0.0,29.0,21.0,92.0,0.0,52.0,0.0,92.0,92.0,0.0,106.0,0.0,0.0,123.0
6,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,67.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,65.0,98.0,0.0,0.0,96.0,0.0,0.0,154.0,184.0,0.0,91.0,0.0,0.0,93.0,0.0,160.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,118.0,76.0,0.0,0.0,21.0,0.0,0.0,0.0,127.0,84.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,247.0,148.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,85.0,34.0,0.0,0.0,0.0,0.0,29.0,21.0,8.0,0.0,52.0,0.0,92.0,46.0,0.0,203.0,0.0,0.0,49.0
7,0.0,0.0,96.0,0.0,0.0,0.0,133.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,65.0,27.0,0.0,0.0,96.0,0.0,0.0,100.0,184.0,0.0,91.0,0.0,0.0,5.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,76.0,0.0,0.0,21.0,0.0,0.0,0.0,127.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,137.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,85.0,34.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,14.0,0.0,92.0,12.0,0.0,178.0,2.0,0.0,49.0
8,0.0,0.0,41.0,0.0,0.0,0.0,133.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,65.0,27.0,0.0,0.0,96.0,0.0,0.0,49.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,76.0,0.0,0.0,21.0,0.0,0.0,1.0,109.0,75.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,248.0,137.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,14.0,1.0,92.0,12.0,99.0,178.0,0.0,97.0,49.0
9,0.0,0.0,41.0,0.0,0.0,0.0,133.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,57.0,12.0,0.0,0.0,7.0,0.0,0.0,27.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,75.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,231.0,100.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,36.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,14.0,2.0,92.0,12.0,80.0,275.0,0.0,97.0,49.0
